"paper","study","design","level","index","paper_statistic","paper_value","cier_value","delta","status","n","note"
"bruhlmann_2020","","","","Bogus item","n flagged",92,,,"not_implemented",394,"direct attention-check items are outside cier's scope; the column ships in bfi_careless"
"bruhlmann_2020","","","","Instructed response item","n flagged",96,,,"not_implemented",394,"direct attention-check items are outside cier's scope; the column ships in bfi_careless"
"bruhlmann_2020","","","","Latent profile class (careless)","n flagged",181,,,"not_implemented",394,"model-based classification (latent profile analysis) is outside cier's scope"
"bruhlmann_2020","","","","Longstring","n flagged",25,25,0,"matches",394,""
"bruhlmann_2020","","","","Odd-even consistency","n flagged",63,89,26,"differs",394,"the authors' script applies an extra correction to one mis-keyed openness item; with it replicated, their count, mean and SD reproduce exactly (demonstrated above)"
"bruhlmann_2020","","","","Open-answer quality","n flagged",100,,,"not_implemented",394,"open-answer quality coding is outside cier's scope"
"bruhlmann_2020","","","","Person-total correlation","n flagged",74,73,-1,"close",394,""
"bruhlmann_2020","","","","Resampled individual reliability","n flagged",63,86,23,"differs",394,"the authors' one-item keying correction (see odd-even consistency) plus their raw-correlation averaging without the Spearman-Brown step; with both replicated their count reproduces to within resampling noise"
"bruhlmann_2020","","","","Response time","n flagged",0,,,"not_implemented",394,"timing indices are outside cier's scope; the paper flagged no respondent on time"
"bruhlmann_2020","","","","Self-report aggregate","n flagged",106,,,"not_implemented",394,"self-report responding-tendency scales are outside cier's scope"
"goldammer_battery_2024","1","BS","full","Antonyms","AUC",0.81,,,"abstains",237,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","1","BS","full","Gnormed","AUC",0.71,0.704,-0.006,"close",237,"scored on 236 of 237 respondents (abstentions excluded)"
"goldammer_battery_2024","1","BS","full","Ht","AUC",0.79,0.786,-0.004,"matches",237,"scored on 236 of 237 respondents (abstentions excluded)"
"goldammer_battery_2024","1","BS","full","INDCHI","AUC",0.67,,,"not_implemented",237,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","1","BS","full","IRV","AUC",0.62,0.616,-0.004,"matches",237,""
"goldammer_battery_2024","1","BS","full","Infit","AUC",0.65,,,"not_implemented",237,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","1","BS","full","Longstring","AUC",0.64,0.646,0.006,"close",237,""
