method,family,paper_year,paper_citation_key,doi,default_cutoff_method,default_cutoff_value,flag_direction,companion_methods,backend,screenable,vote_group,notes
cier_longstring,indirect,2005,johnson2005,10.1016/j.jrp.2004.09.009,fixed,0.5,upper,cier_irv,,TRUE,cier_longstring,"Maximum run length of consecutive identical responses per respondent. The default cutoff, half the item count, is the 'greater than half the scale length' starting point of Meade & Craig (2012) applied to the full item set -- a heuristic (not a calibrated false-positive rate), lenient for multi-scale instruments, and user-adjustable; inspect the score distribution."
cier_irv,indirect,2015,marjanovic2015,10.1016/j.paid.2014.08.021,percentile,0.05,lower,cier_longstring,,TRUE,cier_irv,"Intra-individual response variability (within-person SD across items); low values flag low-effort responding."
cier_even_odd,indirect,2016,curran2016,10.1016/j.jesp.2015.07.006,percentile,0.05,upper,cier_personal_reliability,,TRUE,consistency,"Even-odd consistency across within-scale item halves; reverse-keyed items are reverse-scored first."
cier_personal_reliability,indirect,2024,goldammer2024rpr,10.3758/s13428-024-02506-0,percentile,0.05,upper,cier_even_odd,,TRUE,consistency,"Personal reliability (Jackson 1976) and its resampled variant (Goldammer et al. 2024, about 25 resamples); reverse-keyed items are reverse-scored first."
cier_psychsyn,indirect,2012,meade-craig2012,10.1037/a0028085,percentile,0.05,lower,cier_psychant,,TRUE,cier_psychsyn,"Psychometric synonyms: within-person correlation across strongly positively correlated item pairs; default critical r = 0.60."
cier_psychant,indirect,2012,meade-craig2012,10.1037/a0028085,percentile,0.05,upper,cier_psychsyn,,TRUE,cier_psychant,"Psychometric antonyms: within-person correlation across strongly negatively correlated item pairs; supply critical_r as a positive magnitude (default 0.60), which keeps pairs with inter-item r below -0.60."
cier_mahalanobis,indirect,2016,curran2016,10.1016/j.jesp.2015.07.006,chisq,0.001,upper,cier_irv,,TRUE,cier_mahalanobis,"Mahalanobis distance of each response vector from the sample centroid; chi-square cutoff at p = 0.001."
cier_person_total,indirect,1968,donlon-fischer1968,10.1177/001316446802800110,percentile,0.05,lower,cier_psychsyn,,TRUE,cier_person_total,"Person-total correlation (point-biserial form) of each respondent's responses with the whole-sample item means."
cier_gnormed,personfit,2016,niessen2016,10.1016/j.jrp.2016.04.010,perfit_null,0.05,upper,cier_ht,PerFit,TRUE,cier_gnormed,"Normed polytomous Guttman-error index via PerFit Gnormed.poly; nonparametric, no IRT model; reverse-keyed items are reverse-scored first. Default cutoff is the PerFit Monte-Carlo null at a 0.05 nominal level."
cier_ht,personfit,2016,niessen2016,10.1016/j.jrp.2016.04.010,percentile,0.05,lower,cier_gnormed,mokken,TRUE,cier_ht,"Polytomous person-scalability Ht via mokken coefH on the transposed scale; nonparametric; reverse-keyed items are reverse-scored first."
cier_autocorrelation,indirect,2022,gottfried2022,10.7275/vyxb-gt24,percentile,0.05,upper,"cier_lazr,cier_longstring",,FALSE,cier_autocorrelation,"Maximum absolute lag autocorrelation of the raw response vector (Gottfried et al. 2022); high values flag repetitive or periodic patterns. Computed on raw responses (no reverse-keying). Default cutoff is the empirical upper percentile, following the paper's relative-ranking recommendation. Standalone; not yet run by cier_screen."
cier_lazr,indirect,2025,biemann2025,10.1177/10944281251334778,percentile,0.05,upper,"cier_longstring,cier_autocorrelation",,FALSE,cier_lazr,"First-order Markov response predictability Laz.R (Biemann et al. 2025): transition probabilities weighted by their counts; high values flag lazy or repetitive patterns. Default cutoff is the empirical upper percentile (the convention Biemann et al.'s own studies use, flagging the top 5%); the paper-faithful sample-specific Kneedle elbow is selectable via kneedle = TRUE on the wrapper. Standalone; not yet run by cier_screen."
cier_total_time,timing,2023,ward-meade2023,10.1146/annurev-psych-040422-045007,percentile,0.05,lower,cier_page_time,,FALSE,cier_total_time,"Total survey completion time in seconds (Ward & Meade 2023; Huang et al. 2012); low values flag speeding. Default cutoff is the empirical lower percentile at fpr 0.05; a median-relative override (Leiner 2019; Greszki et al. 2015) is available on the wrapper. Standalone; not yet run by cier_screen."
cier_page_time,timing,2023,bowling2023,10.1177/10944281211056520,fixed,1,upper,cier_total_time,,FALSE,cier_page_time,"Count of pages answered faster than 2 s per item (Bowling et al. 2023); any rapid page flags. A fraction-of-pages override (frac) and a literal count cutoff are available on the wrapper. Standalone; not yet run by cier_screen."
cier_attention,direct,2012,meade-craig2012,10.1037/a0028085,fixed,1,upper,,,FALSE,cier_attention,"Count of failed attention checks (instructed-response, bogus, and infrequency items) among those answered (Meade & Craig 2012; Goldammer et al. 2024); any failure flags. Standalone; not yet run by cier_screen."
